iter	Passed	Remaining
0	136	136446
1	137	68795
2	139	46275
3	140	34971
4	142	28260
5	143	23758
6	144	20493
7	145	18038
8	146	16134
9	147	14592
10	148	13323
11	148	12262
12	149	11358
13	150	10590
14	151	9919
15	151	9332
16	152	8814
17	153	8357
18	153	7946
19	154	7575
20	155	7236
21	155	6924
22	156	6639
23	156	6378
24	157	6137
25	157	5915
26	158	5709
27	158	5518
28	159	5340
29	160	5177
30	160	5022
31	161	4877
32	161	4740
33	162	4611
34	162	4490
35	163	4376
36	163	4267
37	164	4164
38	165	4066
39	165	3974
40	166	3887
41	166	3805
42	167	3733
43	168	3661
44	169	3587
45	169	3516
46	170	3448
47	170	3382
48	171	3321
49	171	3261
50	172	3204
51	172	3150
52	173	3098
53	173	3047
54	174	2997
55	175	2950
56	175	2906
57	176	2862
58	176	2819
59	177	2777
60	177	2737
61	178	2698
62	178	2660
63	179	2623
64	179	2588
65	180	2554
66	181	2520
67	181	2488
68	182	2461
69	183	2434
70	183	2404
71	184	2375
72	184	2347
73	185	2320
74	185	2293
75	186	2266
76	186	2240
77	187	2216
78	188	2191
79	188	2168
80	189	2144
81	189	2121
82	189	2097
83	190	2075
84	190	2054
85	191	2034
86	191	2014
87	192	1995
88	193	1976
89	193	1958
90	194	1939
91	194	1921
92	195	1904
93	195	1887
94	196	1870
95	197	1856
96	197	1842
97	198	1826
98	198	1810
99	199	1795
100	200	1780
101	200	1766
102	201	1752
103	201	1738
104	202	1725
105	203	1712
106	203	1700
107	204	1687
108	204	1674
109	205	1662
110	206	1650
111	206	1638
112	207	1626
113	207	1614
114	208	1603
115	208	1592
116	209	1580
117	210	1570
118	210	1560
119	211	1550
120	212	1540
121	212	1531
122	213	1521
123	213	1511
124	214	1501
125	215	1492
126	215	1481
127	216	1472
128	216	1463
129	217	1454
130	217	1445
131	218	1436
132	218	1427
133	219	1418
134	220	1410
135	220	1401
136	221	1393
137	221	1385
138	222	1377
139	222	1369
140	223	1361
141	223	1352
142	224	1345
143	224	1337
144	225	1329
145	226	1322
146	226	1314
147	227	1309
148	228	1303
149	228	1296
150	229	1289
151	230	1283
152	230	1276
153	231	1269
154	231	1262
155	232	1256
156	232	1249
157	233	1243
158	233	1236
159	234	1230
160	234	1223
161	235	1217
162	235	1211
163	236	1205
164	237	1199
165	237	1193
166	238	1188
167	238	1182
168	239	1176
169	239	1171
170	240	1165
171	240	1159
172	241	1154
173	242	1150
174	243	1145
175	243	1140
176	244	1135
177	244	1129
178	245	1124
179	245	1119
180	246	1114
181	246	1109
182	247	1104
183	248	1100
184	248	1095
185	249	1090
186	249	1085
187	250	1081
188	250	1076
189	251	1071
190	252	1067
191	252	1063
192	253	1058
193	253	1054
194	254	1050
195	254	1045
196	255	1041
197	256	1037
198	256	1032
199	257	1029
200	258	1026
201	258	1022
202	259	1018
203	260	1014
204	260	1011
205	261	1007
206	261	1003
207	262	999
208	263	995
209	263	992
210	264	988
211	265	985
212	265	982
213	266	978
214	267	975
215	267	972
216	268	968
217	269	965
218	269	961
219	270	958
220	271	955
221	271	951
222	272	948
223	273	945
224	273	943
225	274	940
226	275	936
227	275	933
228	276	929
229	276	926
230	277	923
231	277	920
232	278	917
233	279	914
234	279	911
235	280	908
236	281	905
237	281	901
238	282	899
239	283	897
240	284	894
241	284	891
242	285	888
243	285	886
244	286	883
245	287	881
246	288	880
247	289	877
248	289	874
249	290	871
250	290	867
251	291	864
252	291	861
253	292	859
254	293	856
255	294	855
256	295	853
257	295	850
258	296	848
259	297	846
260	298	843
261	298	841
262	299	838
263	299	836
264	300	833
265	301	831
266	301	828
267	302	826
268	303	825
269	304	823
270	304	820
271	305	817
272	306	815
273	306	812
274	307	809
275	307	807
276	308	804
277	309	802
278	309	800
279	310	798
280	311	795
281	311	793
282	312	790
283	312	788
284	313	785
285	313	783
286	314	781
287	314	778
288	315	776
289	316	774
290	316	772
291	317	770
292	318	769
293	319	767
294	320	765
295	320	762
296	321	760
297	321	758
298	322	756
299	323	753
300	323	752
301	324	750
302	325	748
303	326	746
304	326	744
305	327	742
306	328	740
307	328	738
308	329	736
309	329	734
310	330	731
311	330	729
312	331	727
313	332	725
314	333	724
315	333	722
316	334	720
317	335	718
318	335	716
319	336	714
320	336	712
321	337	710
322	337	708
323	338	706
324	339	704
325	339	702
326	340	700
327	340	698
328	341	696
329	342	694
330	342	692
331	343	690
